,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46511,46511,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,AI,SC,Female-only (including Supernumerary),3317,3317,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46512,46512,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,AI,ST,Gender-Neutral,1049,1049,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46513,46513,Indian Institute of Technology Madras,Electrical Engineering,AI,GEN,Gender-Neutral,252,1028,6,4,Bachelor of Technology,1,Tamilnadu
46514,46514,Indian Institute of Technology Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,AI,GEN,Female-only (including Supernumerary),19294,19294,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46515,46515,Indian Institute of Technology Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,AI,EWS,Gender-Neutral,1724,1756,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46516,46516,Indian Institute of Technology Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,AI,OBC-NCL,Gender-Neutral,4096,4374,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46517,46517,Indian Institute of Technology Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,AI,OBC-NCL,Female-only (including Supernumerary),8408,8408,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46518,46518,Indian Institute of Technology Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,AI,SC,Gender-Neutral,2306,2306,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46519,46519,Indian Institute of Technology Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,AI,SC,Female-only (including Supernumerary),3285,3285,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46520,46520,Indian Institute of Technology Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,AI,ST,Gender-Neutral,1025,1025,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46521,46521,Indian Institute of Technology Guwahati,Mathematics and Computing,AI,GEN,Gender-Neutral,665,1061,6,4,Bachelor of Technology,1,Assam
